PLAYER_NAME,POINT_PER_GAME,ASSIST_PER_GAME
fred-christ,3.30,1.20
cal-christensen,5.20,1.60
bob-christian,3.80,0.80
cam-christie,1.40,0.50
doug-christie,11.20,3.60
max-christie,9.60,1.90
dionte-christmas,2.30,0.30
rakeem-christmas,2.10,0.10
semaj-christon,2.90,2.00
josh-christopher,2.00,0.60
patrick-christopher,1.50,0.00
robert-churchwell,1.50,0.30
sidy-cissoko,1.50,0.70
archie-clark,16.30,4.80
carlos-clark,2.40,0.70
earl-clark,4.40,0.50
gary-clark,3.10,0.50
ian-clark,5.60,1.20
jaylen-clark,4.10,0.70
keon-clark,8.20,0.90
brandon-clarke,8.30,1.00
coty-clarke,2.00,0.00
jordan-clarkson,16.20,3.70
gian-clavell,2.90,0.40
victor-claver,3.20,0.70
charles-claxton,0.70,0.00
nic-claxton,10.30,2.20
speedy-claxton,9.30,4.30
jim-cleamons,8.30,3.90
mateen-cleaves,3.60,1.90
john-clemens,6.70,1.10
chris-clemons,4.90,0.80
antonius-cleveland,1.20,0.10
nat-clifton,10.00,2.50
donovan-clingan,6.50,1.10
bill-closs,9.00,1.90
keith-closs,3.90,0.30
noah-clowney,9.10,0.90
paul-cloyd,2.70,0.30
marion-cluggish,4.40,0.40
ben-clyde,2.80,0.20
amir-coffey,9.70,1.10
richard-coffey,1.30,0.10
fred-cofield,3.40,1.70
john-coker,1.60,0.10
norris-cole,7.00,2.70
ben-coleman,6.60,0.60
derrick-coleman,16.50,2.50
ec-coleman,7.20,1.30
jack-coleman,10.60,2.80
norris-coleman,5.30,0.40
bimbo-coles,7.80,3.90
isaiah-collier,8.70,6.30
jason-collier,5.60,0.30
art-collins,3.20,0.90
don-collins,9.80,1.80
doug-collins,17.90,3.30
james-collins,2.60,0.10
jarron-collins,3.90,0.80
jason-collins,3.60,0.90
jimmy-collins,3.80,0.90
john-collins,19.00,2.00
mardy-collins,3.90,1.70
sherron-collins,0.90,0.40
yuri-collins,1.00,2.00
zach-collins,6.40,1.70
kyle-collinsworth,3.20,1.80
darren-collison,12.50,5.00
nick-collison,5.90,1.00
joe-colone,5.50,0.60
bonzie-colson,4.90,0.40
sean-colson,1.20,0.80
steve-colter,6.30,2.80
chance-comanche,7.00,0.00
leroy-combs,4.50,0.80
dallas-comegys,6.00,0.70
larry-comley,2.10,1.00
gene-conley,5.90,0.60
mike-conley,8.20,4.50
ed-conlin,10.10,2.00
marty-conlon,6.50,1.00
pat-connaughton,5.30,1.70
lester-conner,6.30,3.90
chuck-connors,4.50,0.80
will-conroy,0.40,1.00
anthony-cook,3.60,0.30
bert-cook,3.20,0.90
bobby-cook,11.50,3.10
brian-cook,5.50,0.60
daequan-cook,6.40,0.70
darwin-cook,9.50,3.70
jeff-cook,5.30,1.40
norm-cook,2.40,0.20
omar-cook,1.70,2.10
quinn-cook,6.40,1.60
tyler-cook,3.80,0.30
charles-cooke,0.50,0.10
david-cooke,1.50,0.20
joe-cooke,4.30,1.30
xavier-cooks,3.80,0.60
jack-cooley,2.90,0.30
chuck-cooper,6.70,1.80
duane-cooper,2.30,2.00
joe-cooper,4.50,0.80
michael-cooper,8.90,4.20
sharife-cooper,0.50,0.40
wayne-cooper,7.90,0.90
tom-copa,1.50,0.10
chris-copeland,5.80,0.60
hollis-copeland,5.00,1.00
lanard-copeland,2.70,0.40
tyrone-corbin,9.20,1.80
chris-corchiani,3.70,2.20
ken-corley,0.00,0.00
ray-corley,4.60,1.80
petr-cornelie,1.10,0.20
dave-corzine,8.50,1.70
