PLAYER_NAME,TEAM_NAME,COUNTRY,POINT_PER_GAME,REBOUND_PER_GAME,ASSIST_PER_GAME
onuralp-bitim,Chicago Bulls,Turkey,3.5,1.4,0.6
bismack-biyombo,San Antonio Spurs,DRC,5.1,5.6,1.1
nemanja-bjelica,Golden State Warriors,Serbia,7.6,4.6,1.8
uwe-blab,Dallas Mavericks,USA,2.1,1.8,0.4
anthony-black,Orlando Magic,USA,9.4,2.9,3.1
charlie-black,Detroit Pistons,USA,9.2,2.4,2.3
leaky-black,Charlotte Hornets,USA,2.7,1.8,0.9
norman-black,Detroit Pistons,USA,2.7,0.7,0.7
tarik-black,Los Angeles Lakers,USA,4.9,4.7,0.5
tom-black,Oklahoma City Thunder,USA,4.2,3.6,0.6
rolando-blackman,Dallas Mavericks,USA,18.0,3.3,3.0
alex-blackwell,Los Angeles Lakers,USA,1.3,0.9,0.3
cory-blackwell,Oklahoma City Thunder,USA,3.4,1.6,0.4
james-blackwell,Boston Celtics,USA,1.4,0.8,0.8
nate-blackwell,San Antonio Spurs,USA,3.7,0.6,1.8
dejuan-blair,San Antonio Spurs,USA,6.8,5.1,0.8
steve-blake,Portland Trail Blazers,USA,6.5,2.1,4.0
marqus-blakely,Houston Rockets,USA,,,
antonio-blakeney,Chicago Bulls,USA,7.5,1.8,0.8
will-blalock,Detroit Pistons,USA,1.8,1.1,1.2
george-blaney,New York Knicks,USA,3.3,1.0,1.3
lance-blanks,Detroit Pistons,USA,2.0,0.8,0.8
ricky-blanton,Chicago Bulls,USA,3.0,1.5,0.5
andray-blatche,Washington Wizards,USA,10.1,5.4,1.4
mookie-blaylock,Atlanta Hawks,USA,13.5,4.1,6.7
eric-bledsoe,Portland Trail Blazers,USA,13.7,3.9,4.7
keljin-blevins,Portland Trail Blazers,USA,2.2,1.1,0.5
leon-blevins,Indianapolis Olympians,USA,0.7,0.7,0.3
john-block,Houston Rockets,USA,11.9,6.6,1.3
mike-bloom,Baltimore Bullets,USA,6.8,,0.8
jaron-blossomgame,Cleveland Cavaliers,USA,4.2,3.6,0.5
corie-blount,Chicago Bulls,USA,3.6,4.2,0.7
mark-blount,Boston Celtics,USA,8.2,4.6,0.8
vander-blue,Boston Celtics,USA,3.0,1.3,1.2
trevon-bluiett,Utah Jazz,USA,,,
ray-blume,Chicago Bulls,USA,4.6,0.8,1.4
nelson-bobb,Golden State Warriors,USA,4.6,2.4,2.1
tony-bobbitt,Los Angeles Lakers,USA,2.5,1.5,0.0
arlen-bockhorn,Sacramento Kings,USA,11.5,4.7,3.5
buddy-boeheim,Detroit Pistons,USA,2.5,0.8,0.4
tom-boerwinkle,Chicago Bulls,USA,7.2,9.0,3.2
keith-bogans,Orlando Magic,USA,6.3,2.7,1.3
bogdan-bogdanović,LA Clippers,Serbia,10.8,2.9,2.7
bojan-bogdanović,New York Knicks,Croatia,15.6,3.6,1.7
muggsy-bogues,Charlotte Hornets,USA,7.7,2.6,7.6
andrew-bogut,Milwaukee Bucks,Australia,9.6,8.7,2.2
etdrick-bohannon,LA Clippers,USA,1.4,1.7,0.2
bol-bol,Phoenix Suns,Sudan,6.8,2.9,0.6
manute-bol,Washington Wizards,USA,2.6,4.2,0.3
jonah-bolden,Philadelphia 76ers,Australia,4.3,3.4,0.8
marques-bolden,Charlotte Hornets,USA,2.4,2.3,0.2
bill-bolger,Baltimore Bullets,USA,2.8,1.8,0.6
leandro-bolmaro,Utah Jazz,Argentina,1.1,1.0,0.6
joel-bolomboy,Utah Jazz,Ukraine,1.7,1.5,0.1
doug-bolstorff,Detroit Pistons,USA,1.3,0.0,0.0
george-h-bon-salle,Washington Wizards,USA,1.3,0.7,0.0
adem-bona,Philadelphia 76ers,Nigeria,5.8,4.2,0.5
phil-bond,Houston Rockets,USA,0.6,0.6,0.3
walter-bond,Utah Jazz,USA,5.7,1.9,1.2
jordan-bone,Orlando Magic,USA,2.8,1.2,1.1
dexter-boney,Phoenix Suns,USA,2.4,0.8,0.0
isaac-bonga,Toronto Raptors,Germany,3.1,2.2,0.8
ron-bonham,Boston Celtics,USA,6.3,1.5,0.4
anthony-bonner,Sacramento Kings,USA,6.9,5.4,1.4
matt-bonner,San Antonio Spurs,USA,5.8,3.0,0.7
devin-booker,Phoenix Suns,USA,25.6,4.1,7.1
melvin-booker,Golden State Warriors,USA,5.2,1.2,2.3
trevor-booker,Washington Wizards,USA,6.9,5.5,1.1
josh-boone,Brooklyn Nets,USA,5.2,4.9,0.5
